ID,name,description,url,created,last modified,version,relationship citations
M1042,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.,https://attack.mitre.org/mitigations/M1042,11 June 2019,31 March 2020,1.1,"(Citation: ADSecurity Windows Secure Baseline),(Citation: Apple Unified Log Analysis Remote Login and Screen Sharing),(Citation: TechNet Screensaver GP),(Citation: GitHub Disable DDEAUTO Oct 2017),(Citation: Microsoft Disable Autorun),(Citation: Microsoft Disable Macros),(Citation: Symantec SSH and ssh-agent),(Citation: Microsoft Disable VBA Jan 2020),(Citation: Microsoft AlwaysInstallElevated 2018),(Citation: Microsoft DDE Advisory Nov 2017),(Citation: TechNet Removable Media Control),(Citation: Amazon AWS IMDS V2),(Citation: MRWLabs Office Persistence Add-ins),(Citation: ITSyndicate Disabling PHP functions),(Citation: BleepingComputer DDE Disabled in Word Dec 2017),(Citation: Microsoft Network access Credential Manager),(Citation: Microsoft ADV170021 Dec 2017),(Citation: Microsoft Disable DCOM),(Citation: Microsoft BEC Campaign)"
M1055,Do Not Mitigate,This category is to associate techniques that mitigation might increase risk of compromise and therefore mitigation is not recommended.,https://attack.mitre.org/mitigations/M1055,19 July 2019,23 July 2019,1.0,
M1041,Encrypt Sensitive Information,Protect sensitive information with strong encryption.,https://attack.mitre.org/mitigations/M1041,11 June 2019,11 June 2019,1.0,"(Citation: Microsoft Azure Storage Security, 2019),(Citation: Google Cloud Encryption Key Rotation),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: Metcalf 2015),(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: Amazon S3 Security, 2019)"
M1039,Environment Variable Permissions,Prevent modification of environment variables by unauthorized users and groups.,https://attack.mitre.org/mitigations/M1039,11 June 2019,11 June 2019,1.0,(Citation: Securing bash history)
M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",https://attack.mitre.org/mitigations/M1038,11 June 2019,20 June 2020,1.1,"(Citation: Windows Commands JPCERT),(Citation: Apple TN2459 Kernel Extensions),(Citation: Technospot Chrome Extensions GP),(Citation: Beechey 2010),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: Microsoft Using Software Restriction ),(Citation: Kernel.org Restrict Kernel Module),(Citation: Microsoft Driver Block Rules),(Citation: Microsoft Windows Defender Application Control),(Citation: Increasing Linux kernel integrity),(Citation: Kernel Self Protection Project),(Citation: Microsoft Application Lockdown),(Citation: Corio 2008),(Citation: Microsoft WDAC),(Citation: TechNet Applocker vs SRP),(Citation: SANS Application Whitelisting),(Citation: LKM loading kernel restrictions),(Citation: Wikibooks Grsecurity),(Citation: Microsoft ISAPICGIRestriction 2016),(Citation: NSA MS AppLocker),(Citation: Dormann Dangers of VHD 2019)"
M1050,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.,https://attack.mitre.org/mitigations/M1050,11 June 2019,20 June 2020,1.1,"(Citation: Windows Commands JPCERT),(Citation: Corio 2008),(Citation: Secure Host Baseline EMET),(Citation: NSA MS AppLocker),(Citation: Beechey 2010),(Citation: TechNet Moving Beyond EMET),(Citation: TechNet Applocker vs SRP),(Citation: Wikipedia Control Flow Integrity),(Citation: Microsoft Windows Defender Application Control)"
M1037,Filter Network Traffic,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.,https://attack.mitre.org/mitigations/M1037,11 June 2019,20 June 2020,1.1,"(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: US-CERT APT Energy Oct 2017),(Citation: CERT-EU DDoS March 2017),(Citation: Juniper DAI 2020),(Citation: Microsoft SMB Packet Signing),(Citation: Microsoft Preventing SMB),(Citation: US-CERT SMB Security),(Citation: Secure Ideas SMB Relay),(Citation: RedLock Instance Metadata API 2018),(Citation: byt3bl33d3r NTLM Relaying),(Citation: Cisco ARP Poisoning Mitigation 2016)"
M1035,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc.",https://attack.mitre.org/mitigations/M1035,11 June 2019,09 June 2020,1.0,"(Citation: Kubernetes API Control Access),(Citation: TechNet RDP Gateway),(Citation: Wikipedia 802.1x),(Citation: Docker Daemon Socket Protect)"
M1034,Limit Hardware Installation,"Block users or groups from installing or using unapproved hardware on systems, including USB devices.",https://attack.mitre.org/mitigations/M1034,11 June 2019,09 June 2020,1.0,
M1033,Limit Software Installation,Block users or groups from installing unapproved software.,https://attack.mitre.org/mitigations/M1033,11 June 2019,11 June 2019,1.0,
M1032,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.,https://attack.mitre.org/mitigations/M1032,10 June 2019,10 June 2019,1.0,"(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: Amazon S3 Security, 2019),(Citation: Berkley Secure),(Citation: Evilginx 2 July 2018),(Citation: Expel IO Evil in AWS),(Citation: AWS - IAM Console Best Practices)"
M1031,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.,https://attack.mitre.org/mitigations/M1031,10 June 2019,10 June 2019,1.0,"(Citation: Cisco Umbrella DGA Brute Force),(Citation: University of Birmingham C2),(Citation: US-CERT TA18-106A Network Infrastructure Devices 2018),(Citation: Cybereason Dissecting DGAs),(Citation: US-CERT-TA18-106A),(Citation: Anomali Template Injection MAR 2018),(Citation: Akamai DGA Mitigation)"
M1030,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems.",https://attack.mitre.org/mitigations/M1030,10 June 2019,14 May 2020,1.1,"(Citation: TechNet Firewall Design),(Citation: Harmj0y Domain Trusts),(Citation: NSA Spotting),(Citation: US-CERT TA17-156A SNMP Abuse 2017)"
M1028,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.,https://attack.mitre.org/mitigations/M1028,06 June 2019,19 June 2020,1.1,"(Citation: Microsoft WDigest Mit),(Citation: Tilbury Windows Credentials),(Citation: Microsoft GPO Bluetooth FEB 2009),(Citation: SpectorOps Code Signing Dec 2017),(Citation: HowToGeek ShowExtension),(Citation: Windows Anonymous Enumeration of SAM Accounts),(Citation: Seqrite DoubleExtension),(Citation: Windows RDP Sessions),(Citation: TechNet Removable Media Control),(Citation: Apple Developer Doco Hardened Runtime),(Citation: TechNet Server Operator Scheduled Task),(Citation: TechRepublic Wireless GPO FEB 2009),(Citation: Microsoft Disable NTLM Nov 2012),(Citation: Microsoft BITS),(Citation: TechNet RDP NLA),(Citation: UCF STIG Elevation Account Enumeration)"
M1027,Password Policies,Set and enforce secure password policies for accounts.,https://attack.mitre.org/mitigations/M1027,06 June 2019,06 June 2019,1.0,"(Citation: NIST 800-63-3),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: US-CERT Alert TA13-175A Risks of Default Passwords on the Internet),(Citation: Microsoft Install Password Filter n.d),(Citation: AWS - IAM Console Best Practices)"
M1056,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques.",https://attack.mitre.org/mitigations/M1056,19 October 2020,20 October 2020,1.0,
M1026,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.",https://attack.mitre.org/mitigations/M1026,06 June 2019,31 March 2020,1.1,"(Citation: TechNet Scheduling Priority),(Citation: Microsoft Remote Use of Local),(Citation: Tilbury Windows Credentials),(Citation: FireEye WMI 2015),(Citation: TechNet Least Privilege),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: TechNet Credential Theft),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: Microsoft Securing Privileged Access),(Citation: Netspi PowerShell Execution Policy Bypass),(Citation: Microsoft System Wide Com Keys),(Citation: Microsoft runas),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: Microsoft Process Wide Com Keys),(Citation: ADSecurity AD Kerberos Attacks),(Citation: Microsoft Create Token),(Citation: Microsoft COM ACL),(Citation: FireEye ADFS),(Citation: Microsoft Replace Process Token),(Citation: CyberArk Labs Safe Mode 2016)"
M1025,Privileged Process Integrity,"Protect processes with high privileges that can be used to interact with critical system components through use of protected process light, anti-process injection defenses, or other process integrity enforcement measures.",https://attack.mitre.org/mitigations/M1025,06 June 2019,20 May 2020,1.1,"(Citation: Graeber 2014),(Citation: Microsoft LSA Protection Mar 2014),(Citation: Microsoft LSA),(Citation: Microsoft Configure LSA)"
M1029,Remote Data Storage,Use remote security log and sensitive file storage where access can be controlled better to prevent exposure of intrusion detection log data or sensitive information.,https://attack.mitre.org/mitigations/M1029,06 June 2019,06 June 2019,1.0,(Citation: Ready.gov IT DRP)
M1022,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.,https://attack.mitre.org/mitigations/M1022,06 June 2019,20 May 2020,1.1,"(Citation: InsiderThreat NTFS EA Oct 2017),(Citation: Microsoft ETW May 2018),(Citation: win_xml_evt_log),(Citation: Microsoft W32Time May 2017)"
M1044,Restrict Library Loading,Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.,https://attack.mitre.org/mitigations/M1044,11 June 2019,11 June 2019,1.0,"(Citation: Microsoft DLL Security),(Citation: Microsoft More information about DLL),(Citation: Microsoft Dynamic Link Library Search Order)"
M1024,Restrict Registry Permissions,Restrict the ability to modify certain hives or keys in the Windows Registry.,https://attack.mitre.org/mitigations/M1024,06 June 2019,06 June 2019,1.0,"(Citation: Microsoft W32Time May 2017),(Citation: def_ev_win_event_logging)"
M1021,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.",https://attack.mitre.org/mitigations/M1021,06 June 2019,06 June 2019,1.0,(Citation: Microsoft Azure AD Admin Consent)
M1020,SSL/TLS Inspection,Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.,https://attack.mitre.org/mitigations/M1020,06 June 2019,06 June 2019,1.0,
M1054,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.,https://attack.mitre.org/mitigations/M1054,19 July 2019,31 March 2020,1.1,"(Citation: ACSC Email Spoofing),(Citation: GitHub Disable DDEAUTO Oct 2017),(Citation: CloudSploit - Unused AWS Regions),(Citation: Cisco Securing SNMP),(Citation: US-CERT TA18-106A Network Infrastructure Devices 2018),(Citation: Enigma Reviving DDE Jan 2018),(Citation: Wikipedia HPKP),(Citation: Palo Alto Office Test Sofacy),(Citation: CyberArk Labs Safe Mode 2016),(Citation: Microsoft Anti Spoofing)"
M1019,Threat Intelligence Program,A threat intelligence program helps an organization generate their own threat intelligence information and track trends to inform defensive priorities to mitigate risk.,https://attack.mitre.org/mitigations/M1019,06 June 2019,06 June 2019,1.0,
M1051,Update Software,Perform regular software updates to mitigate exploitation risk.,https://attack.mitre.org/mitigations/M1051,11 June 2019,07 July 2020,1.0,"(Citation: ADSecurity Finding Passwords in SYSVOL),(Citation: SensePost Outlook Forms),(Citation: Cisco Blog Legacy Device Attacks),(Citation: Github UACMe),(Citation: NSA Spotting),(Citation: SensePost Outlook Home Page),(Citation: MS14-025)"
M1052,User Account Control,Configure Windows User Account Control to mitigate risk of adversaries obtaining elevated process access.,https://attack.mitre.org/mitigations/M1052,11 June 2019,31 March 2020,1.1,"(Citation: GitHub IAD Secure Host Baseline UAC Filtering),(Citation: Executable Installers are Vulnerable)"
M1018,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts.",https://attack.mitre.org/mitigations/M1018,06 June 2019,20 May 2020,1.1,"(Citation: Microsoft Azure Storage Security, 2019),(Citation: Amazon  AWS Temporary Security Credentials),(Citation: Microsoft ETW May 2018),(Citation: Amazon S3 Security, 2019),(Citation: Symantec BITS May 2007),(Citation: Microsoft GPO Security Filtering),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: Microsoft SolarWinds Customer Guidance),(Citation: Expel IO Evil in AWS),(Citation: Wald0 Guide to GPOs),(Citation: Mandiant M-Trends 2020),(Citation: Microsoft WMI Filters),(Citation: NSA and ASD Detect and Prevent Web Shells 2020),(Citation: UCF STIG Symbolic Links)"
M1017,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction.",https://attack.mitre.org/mitigations/M1017,06 June 2019,21 October 2020,1.2,(Citation: Re-Open windows on Mac)
M1016,Vulnerability Scanning,Vulnerability scanning is used to find potentially exploitable software vulnerabilities to remediate them.,https://attack.mitre.org/mitigations/M1016,06 June 2019,14 July 2020,1.1,(Citation: OWASP Top 10)
